,KEY_CODE,CITY_NAME,AZA_CODE,AZA_NAME,総数（Ａ～Ｓ全産業）,Ａ～Ｒ全産業（Ｓ公務を除く）,Ａ～Ｂ農林漁業,Ｃ～Ｓ非農林漁業,Ｃ～Ｒ非農林漁業（Ｓ公務を除く）,Ｃ鉱業、採石業、砂利採取業,Ｄ建設業,Ｅ製造業,Ｆ電気・ガス・熱供給・水道業,Ｇ情報通信業,Ｈ運輸業、郵便業,Ｉ卸売業、小売業,Ｊ金融業、保険業,Ｋ不動産業、物品賃貸業,Ｌ学術研究、専門・技術サービス業,Ｍ宿泊業、飲食サービス業,Ｎ生活関連サービス業、娯楽業,Ｏ教育、学習支援業,Ｐ医療、福祉,Ｑ複合サービス事業,Ｒサービス業（他に分類されないもの）,Ｓ公務（他に分類されるものを除く）,１～４人,５～９人,１０～１９人,２０～２９人,３０人以上,出向・派遣従業者のみ,総数（Ａ～Ｓ全産業）,男（Ａ～Ｓ全産業）,女（Ａ～Ｓ全産業）,Ａ～Ｒ全産業（Ｓ公務を除く）,男Ａ～Ｒ全産業（Ｓ公務を除く）,女Ａ～Ｒ全産業（Ｓ公務を除く）,Ａ～Ｂ農林漁業,Ｃ～Ｓ非農林漁業,Ｃ～Ｒ非農林漁業（Ｓ公務を除く）,Ｃ鉱業、採石業、砂利採取業,Ｄ建設業,Ｅ製造業,Ｆ電気・ガス・熱供給・水道業,Ｇ情報通信業,Ｈ運輸業、郵便業,Ｉ卸売業、小売業,Ｊ金融業、保険業,Ｋ不動産業、物品賃貸業,Ｌ学術研究、専門・技術サービス業,Ｍ宿泊業、飲食サービス業,Ｎ生活関連サービス業、娯楽業,Ｏ教育、学習支援業,Ｐ医療、福祉,Ｑ複合サービス事業,Ｒサービス業（他に分類されないもの）,Ｓ公務（他に分類されるものを除く）,１～４人,５～９人,１０～１９人,２０～２９人,３０人以上,民営事業所数,うち個人,うち法人,うち会社,会社以外の法人,民営従業者数,うち個人,うち法人,うち会社,会社以外の法人
43,261010000000044.0,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,261010000000045.0,京都市北区,4500004500.0,大森中町,1,1,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3,2,1,3,2,1,-,3,3,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,1,-,1,1,-,3,-,3,3,-
45,261010000000046.0,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,261010000000047.0,京都市北区,4700004700.0,大森東町,3,3,-,3,3,-,1,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1,-,1,1,-,-,44,26,18,44,26,18,-,44,44,-,3,-,-,-,-,-,-,-,-,41,-,-,-,-,-,-,3,-,12,29,-,3,1,2,2,-,44,3,41,41,-
47,261010000000048.0,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,261010000000049.0,京都市北区,4900004900.0,小野上ノ町,2,2,-,2,2,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,2,1,1,2,1,1,-,2,2,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,2,2,-,-,-,2,2,-,-,-
49,261010000000050.0,京都市北区,5000005000.0,小野下ノ町,5,4,-,5,4,-,-,1,-,-,-,1,-,-,-,-,1,-,-,1,-,1,4,-,1,-,-,-,21,9,12,18,8,10,-,21,18,-,-,11,-,-,-,1,-,-,-,-,2,-,-,4,-,3,10,-,11,-,-,4,3,1,1,-,18,14,4,4,-
50,261010000000051.0,京都市北区,5100005100.0,小野中ノ町,2,1,-,2,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,2,1,1,1,-,1,-,2,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,1,1,-,-,-,1,1,-,-,-
51,261010000000052.0,京都市北区,5200005200.0,小野宮ノ上町,3,3,-,3,3,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,-,-,-,-,-,4,4,-,4,4,-,-,4,4,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,4,-,-,-,-,3,2,1,-,1,4,3,1,-,1
52,261010000000053.0,京都市北区,5300005300.0,上賀茂葵田町,4,4,-,4,4,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,2,2,-,-,-,-,15,11,4,15,11,4,-,15,15,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,4,11,-,-,-,4,-,4,4,-,15,-,15,15,-
